Year,Month,Primary_School,High_School,Associates_Degree,Professional_Degree,White,Black,Asian,Hispanic,Men,Women,California,Florida,Texas,NY,Cal_case,Flo_case,Tex_case,NY_case,US_case
2016,Sep,8.5,5.3,4.2,2.5,4.4,8.5,3.8,6.4,4.7,4.4,5.5,4.9,4.8,5,0,0,0,0,0
2017,Sep,6.7,4.4,3.6,2.3,3.7,7.2,3.6,5.1,3.9,3.9,4.7,4.2,4.1,4.7,0,0,0,0,0
2018,Sep,5.7,3.8,3.2,2,3.3,6.2,3.5,4.6,3.4,3.3,4.2,3.5,3.8,3.9,0,0,0,0,0
2019,Sep,4.8,3.6,2.9,2,3.2,5.5,2.5,3.9,3.2,3.1,4.1,3.1,3.6,3.9,0,0,0,0,0
2020,Sep,10.6,9,8.1,4.8,7,12.1,8.9,10.3,7.4,7.7,10.3,8.7,7.7,10.3,23161326,20108587,21606639,13469324,199617324
2021,Sep,7.9,5.8,4.5,2.5,4.2,7.9,4.2,6.3,4.7,4.2,6.4,3.9,5.1,6,138670868,104089489,117003017,70629706,1250234524
2010,Oct,15,9.8,8.2,4.6,8.6,15.6,7.2,12.3,9.4,8,12.4,10.8,8.2,8.6,0,0,0,0,0
2011,Oct,13.5,9.4,8.1,4.3,7.9,14.6,7.4,11.3,8.6,7.8,11.6,9.6,7.8,8.5,0,0,0,0,0
2012,Oct,12.1,8.3,6.9,3.7,6.9,14.1,4.9,10,7.2,7.1,10,8.3,6.5,8.5,0,0,0,0,0
2013,Oct,10.9,7.2,6.4,3.7,6.3,12.8,5.4,9.1,6.9,6.3,8.6,7.2,6.1,7.5,0,0,0,0,0
2014,Oct,8.1,5.7,4.9,3,4.9,10.6,5.1,6.8,5.1,5.4,7.2,6.1,4.9,5.9,0,0,0,0,0
2015,Oct,7.6,5.2,4.4,2.5,4.4,9,3.5,6.3,4.7,4.6,5.8,5.3,4.5,4.9,0,0,0,0,0
2016,Oct,7.4,5.4,3.9,2.6,4.4,8.4,3.4,5.8,4.6,4.4,5.5,4.9,4.8,5,0,0,0,0,0
2017,Oct,5.9,4.2,3.7,2.1,3.5,7.4,3,4.9,3.8,3.7,4.6,4.1,4.1,4.7,0,0,0,0,0
2018,Oct,5.9,4,3.1,2,3.3,6.3,3.1,4.4,3.5,3.4,4.3,3.5,3.8,3.9,0,0,0,0,0
2019,Oct,5.5,3.7,2.8,2.1,3.2,5.5,2.8,4.1,3.2,3.2,4.1,3,3.5,3.9,0,0,0,0,0
2020,Oct,9.8,8.1,6.5,4.2,6,10.8,7.6,8.8,6.7,6.5,9.5,7.2,7.1,9.3,27240507,23278925,26338246,15050023,251248282
2021,Oct,7.4,5.4,4.4,2.4,4,7.9,4.2,5.9,4.3,4.4,6.1,3.7,5,5.7,149871455,113329514,130146709,77480492,1392847523
2010,Nov,15.4,10,8.6,5,8.9,16.2,7.5,12.9,9.9,8.4,12.4,10.8,8.2,8.5,0,0,0,0,0
2011,Nov,12.8,8.8,7.7,4.4,7.7,15.6,6.4,11.2,8.2,7.8,11.5,9.4,7.5,8.5,0,0,0,0,0
2012,Nov,12,8,6.5,3.9,6.8,13.3,6.3,9.9,7.2,7,9.9,8.2,6.5,8.4,0,0,0,0,0
2013,Nov,10.7,7.2,6.4,3.4,6.1,12.3,5.2,8.7,6.6,6.2,8.5,7.1,6,7.3,0,0,0,0,0
2014,Nov,8.6,5.7,4.9,3.2,5,10.9,4.8,6.6,5.4,5.3,7.1,6,4.8,5.8,0,0,0,0,0
2015,Nov,6.8,5.4,4.4,2.5,4.4,9.4,3.9,6.4,4.8,4.6,5.8,5.2,4.5,4.9,0,0,0,0,0
2016,Nov,7.8,5,3.9,2.4,4.2,8.1,3.1,5.8,4.3,4.3,5.4,4.8,4.8,4.9,0,0,0,0,0
2017,Nov,5.2,4.4,3.6,2.1,3.7,7.4,3,4.8,3.8,3.7,4.5,4.1,4.1,4.6,0,0,0,0,0
2018,Nov,5.6,3.5,3.1,2.2,3.4,6.1,2.8,4.5,3.3,3.4,4.3,3.6,3.8,4,0,0,0,0,0
2019,Nov,5.3,3.7,2.9,2,3.2,5.6,2.6,4.2,3.2,3.2,4.1,2.9,3.5,3.9,0,0,0,0,0
2020,Nov,9,7.7,6.3,4.2,5.9,10.3,6.7,8.4,6.7,6.1,9.2,6.7,6.9,9.1,32213006,26828872,31951160,17200583,338222973
2021,Nov,5.7,5.2,3.7,2.3,3.7,6.7,3.8,5.2,4,4,5.8,3.5,4.9,5.4,150301676,111320630,129579715,79218389,1419741787
2010,Dec,15,9.8,8.1,4.8,8.5,15.5,7.2,12.9,9.4,8,12.4,10.7,8.2,8.5,0,0,0,0,0
2011,Dec,13.7,8.7,7.6,4.1,7.5,15.4,6.8,11.1,8,7.8,11.3,9.3,7.3,8.6,0,0,0,0,0
2012,Dec,11.8,8,6.9,4,6.9,14,6.6,9.6,7.2,7.4,9.8,8.1,6.5,8.4,0,0,0,0,0
2013,Dec,9.8,7,6.2,3.3,5.9,11.9,4.3,8.3,6.3,6.1,8.4,7,5.8,7.1,0,0,0,0,0
2014,Dec,8.6,5.3,5,2.8,4.7,10.6,4.4,6.4,5.2,5.1,6.9,6,4.6,5.8,0,0,0,0,0
2015,Dec,6.4,5.6,4.1,2.5,4.4,8.5,4.1,6.2,4.6,4.5,5.7,5.1,4.5,4.8,0,0,0,0,0
2016,Dec,7.5,5.1,3.8,2.5,4.2,7.9,2.7,5.9,4.4,4.3,5.4,4.8,4.8,4.8,0,0,0,0,0
2017,Dec,6.2,4.2,3.6,2.2,3.7,6.7,2.5,5,3.7,3.7,4.5,4,4.1,4.5,0,0,0,0,0
2018,Dec,5.8,3.8,3.3,2.2,3.4,6.6,3.3,4.4,3.6,3.5,4.3,3.6,3.8,4,0,0,0,0,0
2019,Dec,5.2,3.7,2.7,1.9,3.2,5.9,2.5,4.2,3.1,3.2,4.1,2.9,3.5,3.9,0,0,0,0,0
2020,Dec,9.8,7.8,6.3,3.8,6,9.9,5.9,9.3,6.4,6.3,9.2,6.5,6.9,8.8,55732621,35950919,46197794,25311941,528002244
2021,Dec,5.2,4.6,3.6,2.1,3.2,7.1,3.8,4.9,3.6,3.6,5.8,3.5,4.8,5.4,161883349,118409818,138332050,92035228,1578105385
